lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39151.365000,0.016211,0.755381,-0.063667,0.839609,1.466585,-0.527299,2.427311,0.694468
39151.369011,0.020293,0.846469,-0.079486,0.979004,1.595133,-0.572275,2.829171,0.622969
39151.372979,-0.033650,0.780677,0.365284,0.022049,2.018949,0.701092,0.429857,2.566813
39151.377100,-0.036295,0.877605,0.388453,0.051609,2.292506,0.732153,0.549603,2.903723
39151.380541,-0.021953,0.379213,0.421750,-0.228262,0.795554,0.983747,-0.510578,0.784083
39151.384709,-0.061613,0.523290,1.022422,-0.027400,0.280131,2.354172,1.570535,-0.485007
39151.388702,-0.067601,0.594402,1.145068,-0.061024,0.350465,2.685440,1.649526,-0.574580
39151.392907,-0.044672,0.206952,0.666114,0.314629,-0.164184,0.642912,3.527148,0.640450
39151.396330,-0.067195,0.181539,1.122342,1.356241,0.126261,-0.187926,3.323717,2.906955
39151.401356,-0.074662,0.211823,1.273130,1.488602,0.109938,-0.151937,3.927325,3.223395
39151.403859,-0.032278,0.034010,0.499209,0.809767,0.593024,-0.102162,0.078420,2.243357
39151.408471,-0.031861,-0.096330,0.456537,1.413848,1.885662,1.329373,0.307292,-0.499049
39151.412637,-0.037423,-0.100950,0.531290,1.614027,2.103798,1.401076,0.292471,-0.533658
39151.416222,-0.005001,-0.081152,0.073696,0.512429,0.927009,1.192220,1.062546,0.411478
39151.420637,0.012652,-0.119959,-0.127292,0.231539,0.921145,1.740861,3.017911,2.512365
39151.423870,0.012520,-0.134973,-0.140186,0.284067,1.098076,1.996670,3.422324,2.786312
39151.428658,0.068479,0.003330,-0.176086,-0.226696,-0.163765,-0.139207,0.295520,1.481247
39151.432697,0.075464,-0.000204,-0.210308,-0.235349,-0.190050,-0.092749,0.465422,1.789235
39151.436606,0.062546,0.082398,0.017897,0.009028,-0.034234,-0.372950,-0.369547,-0.360972
39151.440868,0.154537,0.307220,0.471527,0.611451,0.797562,0.998311,2.327884,2.301976
39151.444775,0.171283,0.335554,0.511278,0.646576,0.851574,1.051386,2.399048,2.323199
39151.447934,0.109899,0.262938,0.483607,0.651433,1.072916,1.393293,1.432779,1.780798
39151.453007,0.240756,0.641093,1.146543,1.588036,1.668765,2.044266,2.155532,1.885490
39151.456383,0.267882,0.713632,1.267256,1.760490,1.884837,2.308166,2.542712,2.282689
39151.461286,0.292635,0.753751,1.188956,1.255143,0.861715,0.081246,-0.192915,-0.279102
39151.465040,0.327192,0.842017,1.346683,1.422341,1.020493,0.183288,-0.164413,-0.376076
39151.469138,0.185726,0.437436,0.531501,0.362954,0.059421,-0.259013,-0.090839,0.819516
39151.472949,0.358026,0.785923,0.608614,-0.058814,-0.246653,0.646422,1.895745,2.951545
39151.476254,0.400859,0.884849,0.700046,-0.044959,-0.281095,0.660669,2.079266,3.317544
39151.480500,0.396453,0.643060,0.097486,-0.187510,0.769639,2.330558,2.036621,0.473990
39151.484476,0.444244,0.727818,0.125370,-0.228472,0.800224,2.538397,2.361264,0.647731
39151.488239,0.221175,0.270921,-0.122387,0.018743,1.010452,1.337515,0.078484,-0.552737
39151.492509,0.403952,0.295690,-0.135421,0.886662,1.954792,0.473068,-0.304980,2.277183
39151.495870,0.452216,0.341510,-0.147364,0.956351,2.175137,0.626696,-0.392249,2.397692
39151.500734,0.219314,0.078914,-0.000209,0.858546,0.807647,-0.230673,0.698912,1.653286
39151.504674,0.377477,-0.033652,0.297455,1.692097,0.276627,0.382768,2.338430,0.548893
39151.508675,0.425067,-0.031034,0.314994,1.897171,0.355484,0.400007,2.596424,0.767345
39151.512670,0.210666,-0.044922,0.372822,0.678680,-0.271931,0.931676,1.033804,-0.408277
39151.516796,0.336600,-0.119150,1.029808,0.623568,0.235407,2.312671,-0.075646,1.825093
39151.520189,0.378380,-0.135069,1.137319,0.730882,0.226996,2.644892,0.009385,1.927260
39151.524297,0.174421,-0.056350,0.629486,0.056461,0.612213,0.857644,-0.198547,1.925582
39151.529639,0.206910,0.000136,0.892703,-0.112043,1.442664,-0.019565,1.485667,0.771775
39151.537080,0.296075,0.060680,1.235604,-0.152004,2.204470,-0.182217,2.639935,0.086966
39151.537130,0.341300,0.065821,1.429857,-0.180279,2.569232,-0.261809,3.102791,0.134555
39151.540719,0.111388,0.139129,0.402316,0.211152,0.807844,0.103027,1.049871,0.294264
39151.544160,0.149305,0.428853,0.273003,1.065259,0.216082,1.767814,0.217821,2.525112
39151.548644,0.169849,0.471938,0.327898,1.159410,0.288952,1.921600,0.312129,2.783998
39151.552671,0.060709,0.329302,-0.059159,0.775086,-0.027162,1.399043,-0.328285,1.695738
39151.556624,0.064780,0.722540,-0.131129,1.540808,0.018077,1.179578,1.498482,-0.347876
39151.560623,0.075131,0.804242,-0.150584,1.720826,-0.039542,1.392491,1.604117,-0.227987
39151.564667,0.015081,0.453482,-0.040126,0.605436,0.622169,-0.096949,1.520537,-0.270892
39151.568633,-0.007698,0.769324,0.140367,0.337664,1.814294,-0.096663,1.446440,2.848422
39151.572652,-0.007575,0.865125,0.148397,0.418613,2.050026,-0.124426,1.739515,3.206438
39151.576652,-0.021156,0.432032,0.273198,-0.071701,0.931162,0.563125,-0.071015,1.906068
39151.580191,-0.023085,0.380129,0.407773,-0.051111,0.812666,1.129319,-0.279079,0.774173
39151.584730,-0.053358,0.523859,1.036657,-0.010687,0.218432,2.330491,1.901608,-0.582024
39151.588953,-0.059348,0.596928,1.152124,-0.026294,0.289366,2.654108,2.079292,-0.596295
39151.592198,-0.040462,0.207005,0.699698,0.329729,-0.026648,0.640971,1.864918,0.577733
39151.597246,-0.069239,0.171376,1.088475,1.236342,0.028419,-0.142562,1.531959,2.533782
39151.601235,-0.076949,0.201748,1.240120,1.364195,-0.025811,-0.126116,1.802339,2.802405
39151.604560,-0.047824,-0.040867,0.706024,1.601985,1.487132,0.311504,-0.004064,0.949081
39151.608853,-0.054925,-0.038462,0.813161,1.806483,1.613462,0.292821,-0.020230,1.171667
39151.611972,-0.023010,-0.071065,0.203811,0.800826,1.203243,1.058560,0.380234,-0.076182
39151.616996,0.003590,-0.125390,-0.038139,0.590025,1.547715,2.375873,2.659514,1.519999
39151.620386,0.002709,-0.142107,-0.021835,0.703687,1.801786,2.674662,2.903560,1.608989
39151.624589,0.019769,-0.054913,-0.111871,-0.024036,0.328809,0.776108,1.545772,1.524198
39151.628384,0.070427,0.012243,-0.116039,-0.283039,-0.215657,-0.178886,0.425985,1.049558
39151.633327,0.076577,0.010319,-0.144229,-0.310688,-0.243163,-0.131613,0.585217,1.325835
39151.636695,0.125238,0.186427,0.221952,0.134632,0.149842,0.051895,-0.319414,-0.473542
39151.640676,0.138522,0.199827,0.235904,0.109694,0.138687,-0.010581,-0.450416,-0.593973
39151.644626,0.094016,0.200312,0.322873,0.445489,0.580947,0.815205,1.018911,1.158257
39151.648338,0.211772,0.524549,0.941409,1.471806,1.880245,2.185435,2.717354,2.690542
39151.653377,0.235654,0.582680,1.044967,1.635266,2.064731,2.489274,3.041640,3.121798
39151.657142,0.141310,0.382136,0.647155,0.902842,1.147557,1.013550,0.883316,0.526229
39151.661370,0.288988,0.797618,1.156664,1.249044,0.872899,0.221291,-0.365474,-0.273468
39151.664667,0.322605,0.890670,1.296611,1.433838,1.032390,0.326929,-0.392257,-0.361830
39151.668196,0.187622,0.460292,0.557021,0.363941,0.034292,-0.145909,0.158026,0.894840
