lsl_time,CZ,C3,CPZ3,FC4,FC3,CPZ4,C4,CPZ
39851.464870,0.200738,0.467514,0.418291,0.090656,-0.187658,0.115334,0.862702,2.038941
39851.468943,0.379309,0.731884,0.362456,-0.188831,0.279150,1.729047,2.534593,2.070639
39851.472068,0.423861,0.827249,0.427286,-0.201681,0.282881,1.846254,2.827715,2.451164
39851.477141,0.219107,0.324703,-0.011504,-0.175748,0.592099,1.467531,1.020628,-0.286734
39851.480878,0.222216,0.265618,-0.042770,0.037219,0.841911,1.151005,0.229093,0.023454
39851.484901,0.398302,0.300061,-0.148614,0.850330,1.898225,0.482805,-0.313957,1.962319
39851.489128,0.446836,0.345322,-0.179188,0.918297,2.177257,0.633537,-0.427357,2.070826
39851.493190,0.227904,0.075988,0.011261,0.742291,0.705455,-0.454304,0.692377,1.382479
39851.496923,0.383429,-0.015594,0.312280,1.633817,0.275355,0.328946,2.735266,0.969236
39851.500859,0.432587,-0.013181,0.334537,1.848697,0.357442,0.298330,3.030245,1.219388
39851.504068,0.203336,-0.071356,0.364304,0.777091,-0.310131,1.061845,1.127077,-0.180333
39851.508868,0.335478,-0.176416,0.980575,0.576982,0.228635,2.268937,-0.081148,1.415612
39851.512048,0.378013,-0.197366,1.084507,0.687367,0.223079,2.597403,-0.016340,1.455272
39851.516860,0.293193,-0.053134,1.225520,-0.217370,1.507633,0.789770,0.350883,5.562174
39851.520280,0.331552,-0.063715,1.361919,-0.229692,1.632290,0.970841,0.274011,6.436876
39851.524865,0.144460,0.017968,0.577764,-0.178247,1.270438,-0.014812,1.252012,0.638403
39851.528081,0.207513,0.189904,0.768057,0.232379,1.684196,0.098133,2.539453,-0.151203
39851.532900,0.235043,0.204448,0.876863,0.233616,1.941039,0.090323,2.953398,-0.254055
39851.536205,0.094016,0.201887,0.244470,0.441783,0.306728,0.812436,0.295015,1.260566
39851.541093,0.119908,0.548938,0.081021,1.443493,-0.313319,2.362141,-0.183032,2.926234
39851.544379,0.136909,0.607134,0.108573,1.605068,-0.324812,2.641025,-0.221692,3.344992
39851.549303,0.045604,0.384080,-0.141021,0.939672,-0.100075,0.932222,0.427979,0.499307
39851.553505,0.040306,0.765440,-0.237497,1.306934,0.736608,0.124128,2.963426,-0.400809
39851.557436,0.046773,0.853705,-0.268965,1.505714,0.765845,0.231140,3.249906,-0.512284
39851.561510,0.000211,0.433881,-0.028543,0.362491,0.936916,-0.236306,1.222822,0.866354
39851.564929,-0.024717,0.732492,0.383686,0.021351,1.702153,0.654167,0.291423,2.637576
39851.568820,-0.025421,0.826000,0.412666,0.045612,1.926763,0.670823,0.402318,2.947407
